so_number,brand,style_name,item_category,color,order_qty,status,order_date,special_instructions,_REKONSILIASI
SO-MG260242,NEVER SURRENDER,ANGKLEPANTS CREAM,LONG CHINOS,CREAM,370,SHIPPED,2026-07-20,Model: ANGKLE PANTS,OK - sama dengan prod
SO-MG260243,WARNING,DENIMES 1.462,LONG JEANS,ABU,119,SEWING,2026-07-21,Model: DENIMES,OK - sama dengan prod
SO-MG260244,WARNING,DENIMES 1.465,LOMG JEANS,BLUE,148,FINISHING,2026-07-21,Model: DENIMES,OK - sama dengan prod
SO-MG260245,DELUSI,CARPENTER,LONG CARGO,LORENG,154,SEWING,2026-07-21,Model: CARGO,OK - sama dengan prod
SO-MG260246,DELUSI,WORK JACKET,JACKET,LORENG,100,SEWING,2026-07-21,Model: JACKET,OK - sama dengan prod
SO-MG260247,SEVENTYFOUR,SHLS SARIS HITAM,LS KEMEJA,HITAM,50,SHIPPED,2026-07-21,Model: KEMEJA,OK - sama dengan prod
SO-MG260248,SEVENTYFOUR,SHLS SARIS SAGE GREEN,LS KEMEJA,SAGE GREEN,130,SHIPPED,2026-07-21,Model: KEMEJA,OK - sama dengan prod
SO-MG260249,SEVENTYFOUR,SHLS SARIS POWDE R BLUE,LS KEMEJA,POWDER BLUE,114,SHIPPED,2026-07-21,Model: KEMEJA,OK - sama dengan prod
SO-MG260250,SEVENTYFOUR,SHLS SARIS CREAM,LS KEMEJA,CREAM,189,FINISHING,2026-07-21,Model: KEMEJA,OK - sama dengan prod
SO-MG260251,SEVENTYFOUR,SHLS SARIS TAUPE,LS KEMEJA,TAUPE,117,SHIPPED,2026-07-21,Model: KEMEJA,OK - sama dengan prod
SO-MG260252,SEVENTYFOUR,SHLS SARIS BLUE,LS KEMEJA,BLUE,188,FINISHING,2026-07-21,Model: KEMEJA,OK - sama dengan prod
SO-MG260253,SEVENTYFOUR,SHLS SARIS PUTIH,LS KEMEJA,WHITE,192,SHIPPED,2026-07-21,Model: KEMEJA,OK - sama dengan prod
SO-MG260254,WARNING,DENIMES 1.463,LONG JEANS,BLUE,156,SEWING,2026-07-21,Model: DENIMES,OK - sama dengan prod
SO-MG260255,WARNING,DENIMES 1.464,LONG JEANS,BLUE,156,SEWING,2026-07-21,Model: DENIMES,OK - sama dengan prod
SO-MG260256,SGI,CELANA TATA LOGAM,CELANA,BIRU,613,SHIPPED,2026-07-23,Model: CELANA,OK - sama dengan prod
SO-MG260257,SPYDERBILT ( SMBU ),BIVO MEN PANTS FABRIC KHAKY,LONG DECOTTON,KHAKY,1570,CUTTING,2026-07-25,Model: DECOTTON,OK - sama dengan prod
SO-MG260258,SPYDERBILT ( SMBU ),BIVO MEN PANTS FABRIC OLIVE,LONG DECOTTON,OLIVE,1765,CUTTING,2026-07-25,Model: DECOTTON,OK - sama dengan prod
SO-MG260259,SPYDERBILT ( SMBU ),BIVO MEN PANTS FABRIC DARK GREY,LONG DECOTTON,DARK GREY,1763,CUTTING,2026-07-25,Model: DECOTTON,OK - sama dengan prod
SO-MG260260,SPYDERBILT ( SMBU ),BIVO MEN PANTS FABRIC WHEAT,LONG DECOTTON,WHEAT,1980,CUTTING,2026-07-25,Model: DECOTTON,OK - sama dengan prod
SO-MG260261,WARNING,THERMA#2,LONG JOGGER,NAVY,98,SHIPPED,2026-07-29,Model: JOGGER,OK - sama dengan prod
SO-MG260262,WARNING,THERMA#4,LONG JOGGER,ABU MISTY,92,SHIPPED,2026-07-29,Model: JOGGER,OK - sama dengan prod
SO-MG260263,WILMER STUDIOS,KEMEJA SALUR BASIC,LS KEMEJA,SALUR NAVY,280,SHIPPED,2026-07-29,Model: KEMEJA,OK - sama dengan prod
SO-MG260264,SERPARANG,KEMEJA PENDEK HIJAU,SS KEMEJA,HIJAU,908,SEWING,2026-07-31,Model: KEMEJA,OK - sama dengan prod
SO-MG260265,SERPARANG,CELANA  PANJANG HIJAU,LONG DECOTTON,HIJAU,0,SEWING,2026-07-31,Model: DECOTTON,OK - sama dengan prod
SO-MG260266,INSIGHT ( SMBU ),HAKKA SHIRT WHITE,SS KEMEJA,WHITE,1025,SEWING,2026-08-04,Model: KEMEJA,OK - sama dengan prod
SO-MG260267,WARNING,CALDER#1 HITAM,SHORT JOGGER,HITAM,120,SEWING,2026-08-04,Model: JOGGER,OK - sama dengan prod
SO-MG260268,WARNING,CALDER#2 ARMY,SHORT JOGGER,ARMY,100,SEWING,2026-08-04,Model: JOGGER,OK - sama dengan prod
SO-MG260269,WARNING,CALDER#3 COFFE,SHORT JOGGER,COFFEE,122,SEWING,2026-08-04,Model: JOGGER,OK - sama dengan prod
SO-MG260270,WARNING,CALDER#4 MOCCA,SHORT JOGGER,MOCCA,112,SEWING,2026-08-04,Model: JOGGER,OK - sama dengan prod
SO-MG260271,WARNING,CALDER#5 ABU TUA,SHORT JOGGER,ABU TUA,120,SEWING,2026-08-04,Model: JOGGER,OK - sama dengan prod
SO-MG260272,WARNING,CALDER#6 TAUFE,SHORT JOGGER,TAUFE,100,SEWING,2026-08-04,Model: JOGGER,OK - sama dengan prod
SO-MG260273,WARNING,ENTDECKEN#1 HITAM,SHORT JOGGER,HITAM,142,SEWING,2026-08-06,Model: JOGGER,OK - sama dengan prod
SO-MG260274,WARNING,ENTDECKEN#3 MOCA,SHORT JOGGER,MOCCA,140,SEWING,2026-08-06,Model: JOGGER,OK - sama dengan prod
SO-MG260275,WARNING,DECOTTON 1.661 HITAM,LONG DECOTTON,HITAM,335,SEWING,2026-08-06,Model: DECOTTON,OK - sama dengan prod
SO-MG260276,WARNING,DECOTTON 1.662 DK.GREY,LONG DECOTTON,DK.GREY,337,SEWING,2026-08-06,Model: DECOTTON,OK - sama dengan prod
SO-MG260277,WARNING,DECOTTON 1.663 MOCCA,LONG DECOTTON,MOCCA,323,SEWING,2026-08-06,Model: DECOTTON,OK - sama dengan prod
SO-MG260278,WARNING,DECOTTON 1.664 KHAKY,LONG DECOTTON,KHAKY,310,SEWING,2026-08-06,Model: DECOTTON,OK - sama dengan prod
SO-MG260279,WARNING,DECOTTON 1.665 LT.GREY,LONG DECOTTON,LT.GREY,147,SEWING,2026-08-06,Model: DECOTTON,OK - sama dengan prod
SO-MG260280,WARNING,DECOTON 1.655 RELAXED  HITAM,LONG JOGGER,HITAM,70,SEWING,2026-08-11,Model: JOGGER,OK - sama dengan prod
SO-MG260281,WARNING,DECOTON 1.656 RELAXED  COFFE,LONG JOGGER,COFFEE,68,SEWING,2026-08-11,Model: JOGGER,OK - sama dengan prod
SO-MG260282,WARNING,DECOTON 1.657 RELAXED  ABU TUA,LONG JOGGER,ABU TUA,66,SEWING,2026-08-11,Model: JOGGER,OK - sama dengan prod
SO-MG260283,WARNING,DECOTON 1.658 RELAXED ARMY,LONG JOGGER,ARMY,59,SEWING,2026-08-11,Model: JOGGER,OK - sama dengan prod
SO-MG260284,WARNING,DECOTON 1.659 RELAXED  MOCCA,LONG JOGGER,MOCCA,66,SEWING,2026-08-11,Model: JOGGER,OK - sama dengan prod
SO-MG260285,WARNING,DECOTON 1.660 RELAXED TAUFE,LONG JOGGER,TAUFE,55,SEWING,2026-08-11,Model: JOGGER,OK - sama dengan prod
SO-MG260286,WARNING,DENIMES 2.55 BLACK,SHORT JEANS,BLACK,402,SEWING,2026-08-14,Model: JEANS,OK - sama dengan prod
SO-MG260287,WARNING,DENIMES 2.57 BLUE,SHORT JEANS,BLUE,596,SEWING,2026-08-14,Model: JEANS,OK - sama dengan prod
SO-MG260288,WARNING,DENIMES 2.58 T. ASIN,SHORT JEANS,ASIN,479,SEWING,2026-08-14,Model: JEANS,OK - sama dengan prod
SO-MG260289,WARNING,DENIMES 2.59 T.ASN,SHORT JEANS,ASIN,374,CUTTING,2026-08-14,Model: JEANS,OK - sama dengan prod
SO-MG260290,WARNING,DENIMES 1.408 MINBLUE,LONG JEANS,MINBLUE,61,SEWING,2026-08-14,Model: JEANS,OK - sama dengan prod
SO-MG260291,WARNING,DENIMES 1.408 BOYFRIEND,LONG JEANS,BLUE,200,SEWING,2026-08-14,Model: JEANS,OK - sama dengan prod
SO-MG260292,WARNING,DENIMES 1.408 BLACK,LONG JEANS,BLACK,80,SEWING,2026-08-14,Model: JEANS,OK - sama dengan prod
SO-MG260293,WARNING,CARLISLE#2 CREM NAVY,SHORT JOGGER,NAVY,446,CUTTING,2026-08-18,Model: JOGGER,OK - sama dengan prod
SO-MG260294,WARNING,CARLISLE#3 BLUE,SHORT JOGGER,BLUE,430,CUTTING,2026-08-18,Model: JOGGER,OK - sama dengan prod
SO-MG260295,WARNING,CARLISLE#4 OLIVE,SHORT JOGGER,OLIVE,0,CUTTING,2026-08-18,Model: JOGGER,OK - sama dengan prod
SO-MG260296,WARNING,CARLISLE#5 SAGE,SHORT JOGGER,SAGE GREEN,320,CUTTING,2026-08-18,Model: JOGGER,OK - sama dengan prod
SO-MG260297,WARNING,AVALANCHE FL NAVY YELLOW,LS KEMEJA,NAVY YELLOW,78,CUTTING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260298,WARNING,BRENNER FL NAVY GREY,LS KEMEJA,NAVY GREY,62,CUTTING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260299,WARNING,CRESTON FL BLACK GREY,LS KEMEJA,BLACK GREY,52,CUTTING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260300,WARNING,GRAVEN FL BLACK WHITE,LS KEMEJA,BLACK WHITE,78,CUTTING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260301,WARNING,KARSEN FL NAVY GREEN,LS KEMEJA,NAVY GREEN,78,CUTTING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260302,WARNING,MOLVER FL BLACK WHITE,LS KEMEJA,BLACK WHITE,80,CUTTING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260303,WARNING,NORVEN FL BLACK OFF WHITE,LS KEMEJA,BLACK OFF WHITE,74,CUTTING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260304,WARNING,PLAIDEN FL NAVY GREY,LS KEMEJA,NAVY GREY,76,CUTTING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260305,WARNING,STELLAN FL BLACK GREY,LS KEMEJA,BLACK GREY,66,CUTTING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260306,WARNING,TORVEN FL BLACK RED GREY,LS KEMEJA,BLACK RED GREY,44,CUTTING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260307,WARNING,NORVIK FL#1 HITAM,SS KEMEJA,HITAM,132,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260308,WARNING,NORVIK FL#2 NAVY,SS KEMEJA,NAVY,96,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260309,WARNING,NORVIK FL#3 DRAK BROWN,SS KEMEJA,DRAK BROWN,108,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260310,WARNING,NORVIK FL#4 GREEN,SS KEMEJA,GREEN,108,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260311,WARNING,NORVIK FL#5 GREY,SS KEMEJA,GREY,120,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260312,WARNING,NORVIK FL#6 OFF WHITE,SS KEMEJA,OFF WHITE,102,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260313,WARNING,FIELDEN FL#1 HITAM,LS KEMEJA,HITAM,108,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260314,WARNING,FIELDEN FL#2 NAVY,LS KEMEJA,NAVY,78,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260315,WARNING,FIELDEN FL#3 DRAK BROWN,LS KEMEJA,DRAK BROWN,88,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260316,WARNING,FIELDEN FL#4 GREEN,LS KEMEJA,GREEN,88,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260317,WARNING,FIELDEN FL#5 GREY,LS KEMEJA,GREY,104,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260318,WARNING,FIELDEN FL#6 OFF WHITE,LS KEMEJA,OFF WHITE,82,FINISHING,2026-08-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260319,WARNING,EASTON,SS KEMEJA,BLUE,0,CUTTING,2026-08-26,Model: KEMEJA,OK - sama dengan prod
SO-MG260320,WARNING,SEDETENDRE#1,LONG DECOTTON,BLACK,0,CUTTING,2026-08-26,Model: DECOTTON,OK - sama dengan prod
SO-MG260321,WARNING,SEDETENDRE#2,LONG DECOTTON,BIRU,0,CUTTING,2026-08-26,Model: DECOTTON,OK - sama dengan prod
SO-MG260322,WARNING,DENIMES 1.440,LONG JEANS,BLACK,0,CUTTING,2026-08-26,Model: JEANS,OK - sama dengan prod
SO-MG260323,WARNING,DENIMES 1.443,LONG JEANS,DK BIRU,0,CUTTING,2026-08-26,Model: JEANS,OK - sama dengan prod
SO-MG260324,WARNING,DENIMES 1.444,LONG JEANS,BLUE,0,CUTTING,2026-08-26,Model: JEANS,OK - sama dengan prod
SO-MG260325,WARNING,CAVELL CY#1 HITAM,SS KEMEJA,BLACK,0,CUTTING,2026-08-26,Model: KEMEJA,OK - sama dengan prod
SO-MG260326,WARNING,CAVELL CY#1 NAVY,SS KEMEJA,NAVY,0,CUTTING,2026-08-26,Model: KEMEJA,OK - sama dengan prod
