so_number,stage_name,sequence_order,vendor,surat_jalan_no,dispatch_date,qty_dispatched,received_date,qty_received,qty_reject,balance_discrepancy,status,_REKONSILIASI
SO-MG260143,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260143-SEWING_MAKLUN,2026-07-27,125,2026-07-27,125,5,-5,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260143,WASHING,4,,IMP-2026-SO-MG260143-WASHING,2026-07-27,129,2026-07-27,129,0,0,COMPLETED,OK - sama dengan prod
SO-MG260143,FINISHING,6,,IMP-2026-SO-MG260143-FINISHING,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260144,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260144-SEWING_MAKLUN,2026-07-27,125,2026-07-27,123,4,-2,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260144,WASHING,4,,IMP-2026-SO-MG260144-WASHING,2026-07-27,122,2026-07-27,122,0,0,COMPLETED,OK - sama dengan prod
SO-MG260144,FINISHING,6,,IMP-2026-SO-MG260144-FINISHING,2026-07-27,123,2026-07-27,123,0,0,COMPLETED,OK - sama dengan prod
SO-MG260145,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260145-SEWING_MAKLUN,2026-07-27,140,2026-07-27,140,3,-3,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260145,FINISHING,6,,IMP-2026-SO-MG260145-FINISHING,2026-07-27,140,2026-07-27,140,0,0,COMPLETED,OK - sama dengan prod
SO-MG260146,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260146-SEWING_MAKLUN,2026-07-27,140,2026-07-27,140,5,-5,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260146,FINISHING,6,,IMP-2026-SO-MG260146-FINISHING,2026-07-27,140,2026-07-27,140,0,0,COMPLETED,OK - sama dengan prod
SO-MG260147,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260147-SEWING_MAKLUN,2026-07-27,140,2026-07-27,139,0,1,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260147,FINISHING,6,,IMP-2026-SO-MG260147-FINISHING,2026-07-27,139,2026-07-27,139,0,0,COMPLETED,OK - sama dengan prod
SO-MG260148,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260148-SEWING_MAKLUN,2026-07-27,107,2026-07-27,107,0,0,COMPLETED,OK - sama dengan prod
SO-MG260148,WASHING,4,,IMP-2026-SO-MG260148-WASHING,2026-07-27,118,2026-07-27,118,0,0,COMPLETED,OK - sama dengan prod
SO-MG260148,FINISHING,6,,IMP-2026-SO-MG260148-FINISHING,2026-07-27,107,2026-07-27,107,0,0,COMPLETED,OK - sama dengan prod
SO-MG260149,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260149-SEWING_MAKLUN,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260149,WASHING,4,,IMP-2026-SO-MG260149-WASHING,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260149,FINISHING,6,,IMP-2026-SO-MG260149-FINISHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260150,SEWING_MAKLUN,3,A Dadang,IMP-2026-SO-MG260150-SEWING_MAKLUN,2026-07-27,67,2026-07-27,67,64,-64,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260150,FINISHING,6,,IMP-2026-SO-MG260150-FINISHING,2026-07-27,67,2026-07-27,67,0,0,COMPLETED,OK - sama dengan prod
SO-MG260151,SEWING_MAKLUN,3,A Dadang,IMP-2026-SO-MG260151-SEWING_MAKLUN,2026-07-27,73,2026-07-27,73,64,-64,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260151,FINISHING,6,,IMP-2026-SO-MG260151-FINISHING,2026-07-27,73,2026-07-27,73,0,0,COMPLETED,OK - sama dengan prod
SO-MG260158,SEWING_MAKLUN,3,MASTER PA PIAN,IMP-2026-SO-MG260158-SEWING_MAKLUN,2026-07-27,304,2026-07-27,304,4,-4,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260158,FINISHING,6,,IMP-2026-SO-MG260158-FINISHING,2026-07-27,304,2026-07-27,304,0,0,COMPLETED,OK - sama dengan prod
SO-MG260159,SEWING_MAKLUN,3,MASTER PA PIAN,IMP-2026-SO-MG260159-SEWING_MAKLUN,2026-07-27,343,2026-07-27,171,1,171,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260159,FINISHING,6,,IMP-2026-SO-MG260159-FINISHING,2026-07-27,171,2026-07-27,171,0,0,COMPLETED,OK - sama dengan prod
SO-MG260160,SEWING_MAKLUN,3,MASTER PA PIAN,IMP-2026-SO-MG260160-SEWING_MAKLUN,2026-07-27,416,2026-07-27,416,0,0,COMPLETED,OK - sama dengan prod
SO-MG260160,FINISHING,6,,IMP-2026-SO-MG260160-FINISHING,2026-07-27,416,2026-07-27,416,0,0,COMPLETED,OK - sama dengan prod
SO-MG260161,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260161-SEWING_MAKLUN,2026-07-27,148,2026-07-27,0,148,0,PARTIAL_RECEIVED,OK - sama dengan prod
SO-MG260162,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260162-SEWING_MAKLUN,2026-07-27,102,2026-07-27,102,0,0,COMPLETED,OK - sama dengan prod
SO-MG260162,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260162-EMBROIDERY_JADI,2026-07-27,102,2026-07-27,102,0,0,COMPLETED,OK - sama dengan prod
SO-MG260162,FINISHING,6,,IMP-2026-SO-MG260162-FINISHING,2026-07-27,102,2026-07-27,102,0,0,COMPLETED,OK - sama dengan prod
SO-MG260163,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260163-SEWING_MAKLUN,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260163,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260163-EMBROIDERY_JADI,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260163,FINISHING,6,,IMP-2026-SO-MG260163-FINISHING,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260164,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260164-SEWING_MAKLUN,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260164,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260164-EMBROIDERY_JADI,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260164,FINISHING,6,,IMP-2026-SO-MG260164-FINISHING,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260165,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260165-SEWING_MAKLUN,2026-07-27,100,2026-07-27,100,0,0,COMPLETED,OK - sama dengan prod
SO-MG260165,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260165-EMBROIDERY_JADI,2026-07-27,100,2026-07-27,100,0,0,COMPLETED,OK - sama dengan prod
SO-MG260165,FINISHING,6,,IMP-2026-SO-MG260165-FINISHING,2026-07-27,100,2026-07-27,100,0,0,COMPLETED,OK - sama dengan prod
SO-MG260166,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260166-SEWING_MAKLUN,2026-07-27,94,2026-07-27,94,0,0,COMPLETED,OK - sama dengan prod
SO-MG260166,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260166-EMBROIDERY_JADI,2026-07-27,94,2026-07-27,94,0,0,COMPLETED,OK - sama dengan prod
SO-MG260166,FINISHING,6,,IMP-2026-SO-MG260166-FINISHING,2026-07-27,94,2026-07-27,94,0,0,COMPLETED,OK - sama dengan prod
SO-MG260167,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260167-SEWING_MAKLUN,2026-07-27,86,2026-07-27,86,0,0,COMPLETED,OK - sama dengan prod
SO-MG260167,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260167-EMBROIDERY_JADI,2026-07-27,86,2026-07-27,86,0,0,COMPLETED,OK - sama dengan prod
SO-MG260167,FINISHING,6,,IMP-2026-SO-MG260167-FINISHING,2026-07-27,86,2026-07-27,86,0,0,COMPLETED,OK - sama dengan prod
SO-MG260168,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260168-SEWING_MAKLUN,2026-07-27,82,2026-07-27,82,0,0,COMPLETED,OK - sama dengan prod
SO-MG260168,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260168-EMBROIDERY_JADI,2026-07-27,82,2026-07-27,82,0,0,COMPLETED,OK - sama dengan prod
SO-MG260168,FINISHING,6,,IMP-2026-SO-MG260168-FINISHING,2026-07-27,82,2026-07-27,82,0,0,COMPLETED,OK - sama dengan prod
SO-MG260169,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260169-SEWING_MAKLUN,2026-07-27,84,2026-07-27,84,0,0,COMPLETED,OK - sama dengan prod
SO-MG260169,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260169-EMBROIDERY_JADI,2026-07-27,84,2026-07-27,84,0,0,COMPLETED,OK - sama dengan prod
SO-MG260169,FINISHING,6,,IMP-2026-SO-MG260169-FINISHING,2026-07-27,84,2026-07-27,84,0,0,COMPLETED,OK - sama dengan prod
SO-MG260170,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260170-SEWING_MAKLUN,2026-07-27,78,2026-07-27,78,0,0,COMPLETED,OK - sama dengan prod
SO-MG260170,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260170-EMBROIDERY_JADI,2026-07-27,78,2026-07-27,78,0,0,COMPLETED,OK - sama dengan prod
SO-MG260170,FINISHING,6,,IMP-2026-SO-MG260170-FINISHING,2026-07-27,78,2026-07-27,78,0,0,COMPLETED,OK - sama dengan prod
SO-MG260171,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260171-SEWING_MAKLUN,2026-07-27,78,2026-07-27,78,0,0,COMPLETED,OK - sama dengan prod
SO-MG260171,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260171-EMBROIDERY_JADI,2026-07-27,78,2026-07-27,78,0,0,COMPLETED,OK - sama dengan prod
SO-MG260171,FINISHING,6,,IMP-2026-SO-MG260171-FINISHING,2026-07-27,78,2026-07-27,78,0,0,COMPLETED,OK - sama dengan prod
SO-MG260172,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260172-SEWING_MAKLUN,2026-07-27,84,2026-07-27,84,0,0,COMPLETED,OK - sama dengan prod
SO-MG260172,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260172-EMBROIDERY_JADI,2026-07-27,84,2026-07-27,84,0,0,COMPLETED,OK - sama dengan prod
SO-MG260172,FINISHING,6,,IMP-2026-SO-MG260172-FINISHING,2026-07-27,84,2026-07-27,84,0,0,COMPLETED,OK - sama dengan prod
SO-MG260173,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260173-SEWING_MAKLUN,2026-07-27,90,2026-07-27,90,0,0,COMPLETED,OK - sama dengan prod
SO-MG260173,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260173-EMBROIDERY_JADI,2026-07-27,90,2026-07-27,90,0,0,COMPLETED,OK - sama dengan prod
SO-MG260173,FINISHING,6,,IMP-2026-SO-MG260173-FINISHING,2026-07-27,90,2026-07-27,90,0,0,COMPLETED,OK - sama dengan prod
SO-MG260174,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260174-SEWING_MAKLUN,2026-07-27,108,2026-07-27,108,0,0,COMPLETED,OK - sama dengan prod
SO-MG260174,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260174-EMBROIDERY_JADI,2026-07-27,216,2026-07-27,216,0,0,COMPLETED,OK - sama dengan prod
SO-MG260174,FINISHING,6,,IMP-2026-SO-MG260174-FINISHING,2026-07-27,108,2026-07-27,108,0,0,COMPLETED,OK - sama dengan prod
SO-MG260175,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260175-SEWING_MAKLUN,2026-07-27,64,2026-07-27,63,1,0,PARTIAL_RECEIVED,OK - sama dengan prod
SO-MG260175,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260175-EMBROIDERY_JADI,2026-07-27,63,2026-07-27,63,0,0,COMPLETED,OK - sama dengan prod
SO-MG260175,FINISHING,6,,IMP-2026-SO-MG260175-FINISHING,2026-07-27,63,2026-07-27,63,0,0,COMPLETED,OK - sama dengan prod
SO-MG260176,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260176-SEWING_MAKLUN,2026-07-27,112,2026-07-27,112,0,0,COMPLETED,OK - sama dengan prod
SO-MG260176,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260176-EMBROIDERY_JADI,2026-07-27,112,2026-07-27,112,0,0,COMPLETED,OK - sama dengan prod
SO-MG260176,FINISHING,6,,IMP-2026-SO-MG260176-FINISHING,2026-07-27,112,2026-07-27,112,0,0,COMPLETED,OK - sama dengan prod
SO-MG260177,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260177-SEWING_MAKLUN,2026-07-27,94,2026-07-27,94,0,0,COMPLETED,OK - sama dengan prod
SO-MG260177,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260177-EMBROIDERY_JADI,2026-07-27,94,2026-07-27,94,0,0,COMPLETED,OK - sama dengan prod
SO-MG260177,FINISHING,6,,IMP-2026-SO-MG260177-FINISHING,2026-07-27,94,2026-07-27,94,0,0,COMPLETED,OK - sama dengan prod
SO-MG260178,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260178-SEWING_MAKLUN,2026-07-27,82,2026-07-27,81,1,0,PARTIAL_RECEIVED,OK - sama dengan prod
SO-MG260178,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260178-EMBROIDERY_JADI,2026-07-27,163,2026-07-27,163,0,0,COMPLETED,OK - sama dengan prod
SO-MG260178,FINISHING,6,,IMP-2026-SO-MG260178-FINISHING,2026-07-27,81,2026-07-27,81,0,0,COMPLETED,OK - sama dengan prod
SO-MG260179,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260179-SEWING_MAKLUN,2026-07-27,89,2026-07-27,89,0,0,COMPLETED,OK - sama dengan prod
SO-MG260179,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260179-EMBROIDERY_JADI,2026-07-27,179,2026-07-27,179,0,0,COMPLETED,OK - sama dengan prod
SO-MG260179,FINISHING,6,,IMP-2026-SO-MG260179-FINISHING,2026-07-27,89,2026-07-27,89,0,0,COMPLETED,OK - sama dengan prod
SO-MG260182,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260182-SEWING_MAKLUN,2026-07-27,52,2026-07-27,52,0,0,COMPLETED,OK - sama dengan prod
SO-MG260182,WASHING,4,,IMP-2026-SO-MG260182-WASHING,2026-07-27,52,2026-07-27,52,0,0,COMPLETED,OK - sama dengan prod
SO-MG260182,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260182-EMBROIDERY_JADI,2026-07-27,52,2026-07-27,52,0,0,COMPLETED,OK - sama dengan prod
SO-MG260182,FINISHING,6,,IMP-2026-SO-MG260182-FINISHING,2026-07-27,52,2026-07-27,52,0,0,COMPLETED,OK - sama dengan prod
SO-MG260183,SEWING_MAKLUN,3,MASTER PA PIAN,IMP-2026-SO-MG260183-SEWING_MAKLUN,2026-07-27,124,2026-07-27,124,0,0,COMPLETED,OK - sama dengan prod
SO-MG260183,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260183-EMBROIDERY_JADI,2026-07-27,124,2026-07-27,124,0,0,COMPLETED,OK - sama dengan prod
SO-MG260183,FINISHING,6,,IMP-2026-SO-MG260183-FINISHING,2026-07-27,124,2026-07-27,124,0,0,COMPLETED,OK - sama dengan prod
SO-MG260184,PRINT_MENTAH,1,,IMP-2026-SO-MG260184-PRINT_MENTAH,2026-07-27,1326,2026-07-27,1326,0,0,COMPLETED,OK - sama dengan prod
SO-MG260184,EMBROIDERY_MENTAH,2,,IMP-2026-SO-MG260184-EMBROIDERY_MENTAH,2026-07-27,1394,2026-07-27,1394,0,0,COMPLETED,OK - sama dengan prod
SO-MG260184,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260184-SEWING_MAKLUN,2026-07-27,1394,2026-07-27,1389,1394,-1389,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260184,WASHING,4,,IMP-2026-SO-MG260184-WASHING,2026-07-27,1387,2026-07-27,1387,0,0,COMPLETED,OK - sama dengan prod
SO-MG260184,FINISHING,6,,IMP-2026-SO-MG260184-FINISHING,2026-07-27,1389,2026-07-27,1389,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100620,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100620-SEWING_MAKLUN,2026-07-27,44,2026-07-27,44,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100620,FINISHING,6,,IMP-2026-SO-MG26100620-FINISHING,2026-07-27,44,2026-07-27,44,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100621,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100621-SEWING_MAKLUN,2026-07-27,53,2026-07-27,53,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100621,FINISHING,6,,IMP-2026-SO-MG26100621-FINISHING,2026-07-27,53,2026-07-27,53,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100622,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100622-SEWING_MAKLUN,2026-07-27,43,2026-07-27,43,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100622,FINISHING,6,,IMP-2026-SO-MG26100622-FINISHING,2026-07-27,43,2026-07-27,43,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100623,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100623-SEWING_MAKLUN,2026-07-27,49,2026-07-27,49,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100623,FINISHING,6,,IMP-2026-SO-MG26100623-FINISHING,2026-07-27,49,2026-07-27,49,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100624,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100624-SEWING_MAKLUN,2026-07-27,92,2026-07-27,92,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100624,FINISHING,6,,IMP-2026-SO-MG26100624-FINISHING,2026-07-27,92,2026-07-27,92,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100625,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100625-SEWING_MAKLUN,2026-07-27,97,2026-07-27,97,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100625,FINISHING,6,,IMP-2026-SO-MG26100625-FINISHING,2026-07-27,97,2026-07-27,97,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100626,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100626-SEWING_MAKLUN,2026-07-27,92,2026-07-27,92,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100626,FINISHING,6,,IMP-2026-SO-MG26100626-FINISHING,2026-07-27,92,2026-07-27,92,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100627,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100627-SEWING_MAKLUN,2026-07-27,97,2026-07-27,97,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100627,FINISHING,6,,IMP-2026-SO-MG26100627-FINISHING,2026-07-27,97,2026-07-27,97,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100628,PRINT_MENTAH,1,,IMP-2026-SO-MG26100628-PRINT_MENTAH,2026-07-27,48,2026-07-27,48,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100628,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100628-SEWING_MAKLUN,2026-07-27,48,2026-07-27,48,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100628,FINISHING,6,,IMP-2026-SO-MG26100628-FINISHING,2026-07-27,48,2026-07-27,48,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100629,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100629-SEWING_MAKLUN,2026-07-27,21,2026-07-27,21,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100629,FINISHING,6,,IMP-2026-SO-MG26100629-FINISHING,2026-07-27,21,2026-07-27,21,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100630,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100630-SEWING_MAKLUN,2026-07-27,25,2026-07-27,25,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100630,FINISHING,6,,IMP-2026-SO-MG26100630-FINISHING,2026-07-27,25,2026-07-27,25,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100631,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100631-SEWING_MAKLUN,2026-07-27,23,2026-07-27,23,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100631,FINISHING,6,,IMP-2026-SO-MG26100631-FINISHING,2026-07-27,23,2026-07-27,23,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100632,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100632-SEWING_MAKLUN,2026-07-27,25,2026-07-27,25,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100632,FINISHING,6,,IMP-2026-SO-MG26100632-FINISHING,2026-07-27,25,2026-07-27,25,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100633,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100633-SEWING_MAKLUN,2026-07-27,23,2026-07-27,23,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100633,EMBROIDERY_JADI,5,,IMP-2026-SO-MG26100633-EMBROIDERY_JADI,2026-07-27,23,2026-07-27,23,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100633,FINISHING,6,,IMP-2026-SO-MG26100633-FINISHING,2026-07-27,23,2026-07-27,23,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100634,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100634-SEWING_MAKLUN,2026-07-27,24,2026-07-27,24,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100634,EMBROIDERY_JADI,5,,IMP-2026-SO-MG26100634-EMBROIDERY_JADI,2026-07-27,24,2026-07-27,24,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100634,FINISHING,6,,IMP-2026-SO-MG26100634-FINISHING,2026-07-27,24,2026-07-27,24,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100635,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100635-SEWING_MAKLUN,2026-07-27,21,2026-07-27,21,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100635,FINISHING,6,,IMP-2026-SO-MG26100635-FINISHING,2026-07-27,21,2026-07-27,21,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100636,SEWING_MAKLUN,3,Master,IMP-2026-SO-MG26100636-SEWING_MAKLUN,2026-07-27,24,2026-07-27,24,0,0,COMPLETED,OK - sama dengan prod
SO-MG26100636,FINISHING,6,,IMP-2026-SO-MG26100636-FINISHING,2026-07-27,24,2026-07-27,24,0,0,COMPLETED,OK - sama dengan prod
SO-MG260185,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260185-SEWING_MAKLUN,2026-08-26,146,2026-08-26,146,4,-4,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260185,FINISHING,6,,IMP-2026-SO-MG260185-FINISHING,2026-08-26,146,2026-08-26,146,0,0,COMPLETED,OK - sama dengan prod
SO-MG260186,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260186-SEWING_MAKLUN,2026-08-26,132,2026-08-26,128,0,4,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260186,FINISHING,6,,IMP-2026-SO-MG260186-FINISHING,2026-08-26,128,2026-08-26,128,0,0,COMPLETED,OK - sama dengan prod
SO-MG260187,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260187-SEWING_MAKLUN,2026-08-26,146,2026-08-26,146,1,-1,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260187,FINISHING,6,,IMP-2026-SO-MG260187-FINISHING,2026-08-26,146,2026-08-26,146,0,0,COMPLETED,OK - sama dengan prod
SO-MG260188,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260188-SEWING_MAKLUN,2026-08-26,114,2026-08-26,114,0,0,COMPLETED,OK - sama dengan prod
SO-MG260188,FINISHING,6,,IMP-2026-SO-MG260188-FINISHING,2026-08-26,114,2026-08-26,114,0,0,COMPLETED,OK - sama dengan prod
SO-MG260189,SEWING_MAKLUN,3,MASTER PA PIAN,IMP-2026-SO-MG260189-SEWING_MAKLUN,2026-07-27,235,2026-07-27,235,0,0,COMPLETED,OK - sama dengan prod
SO-MG260189,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260189-EMBROIDERY_JADI,2026-07-27,235,2026-07-27,235,0,0,COMPLETED,OK - sama dengan prod
SO-MG260189,FINISHING,6,,IMP-2026-SO-MG260189-FINISHING,2026-07-27,235,2026-07-27,235,0,0,COMPLETED,OK - sama dengan prod
SO-MG260190,SEWING_MAKLUN,3,MASTER PA PIAN,IMP-2026-SO-MG260190-SEWING_MAKLUN,2026-07-27,124,2026-07-27,124,0,0,COMPLETED,OK - sama dengan prod
SO-MG260190,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260190-EMBROIDERY_JADI,2026-07-27,124,2026-07-27,124,0,0,COMPLETED,OK - sama dengan prod
SO-MG260190,FINISHING,6,,IMP-2026-SO-MG260190-FINISHING,2026-07-27,124,2026-07-27,124,0,0,COMPLETED,OK - sama dengan prod
SO-MG260191,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260191-SEWING_MAKLUN,2026-08-26,74,2026-08-26,74,2,-2,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260191,FINISHING,6,,IMP-2026-SO-MG260191-FINISHING,2026-08-26,74,2026-08-26,74,0,0,COMPLETED,OK - sama dengan prod
SO-MG260192,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260192-SEWING_MAKLUN,2026-08-26,82,2026-08-26,82,0,0,COMPLETED,OK - sama dengan prod
SO-MG260192,FINISHING,6,,IMP-2026-SO-MG260192-FINISHING,2026-08-26,82,2026-08-26,82,0,0,COMPLETED,OK - sama dengan prod
