so_number,item_code,dispatch_date,qty_issued,surat_jalan_no,_REKONSILIASI
SO-MG260177,MG-2604-BH0064,2026-06-22,147.0,IMP-2026-SO-MG260177-MG-2604-BH0064,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260178,MG-2604-BH0064,2026-06-22,138.0,IMP-2026-SO-MG260178-MG-2604-BH0064,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260179,MG-2604-BH0064,2026-06-22,148.0,IMP-2026-SO-MG260179-MG-2604-BH0064,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260182,MG-2604-BH0015,2026-06-22,73.0,IMP-2026-SO-MG260182-MG-2604-BH0015,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260183,MG-2604-BH0065,2026-06-22,87.96,IMP-2026-SO-MG260183-MG-2604-BH0065,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260141,MG-2604-BH0043,2026-06-22,1264.0,IMP-2026-SO-MG260141-MG-2604-BH0043,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260004,MG-2604-BH0059,2026-06-29,400.0,IMP-2026-SO-MG260004-MG-2604-BH0059,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260004,MG-2604-BH0032,2026-06-29,15.0,IMP-2026-SO-MG260004-MG-2604-BH0032,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260184,MG-2604-BH0022,2026-06-29,1710.5,IMP-2026-SO-MG260184-MG-2604-BH0022,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260185,MG-2604-BH0061,2026-06-29,76.0,IMP-2026-SO-MG260185-MG-2604-BH0061,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260185,MG-2604-BH0073,2026-07-01,16.0,IMP-2026-SO-MG260185-MG-2604-BH0073,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260185,MG-2604-BH0053,2026-07-01,101.0,IMP-2026-SO-MG260185-MG-2604-BH0053,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260186,MG-2604-BH0053,2026-07-01,118.0,IMP-2026-SO-MG260186-MG-2604-BH0053,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260187,MG-2604-BH0053,2026-07-01,128.0,IMP-2026-SO-MG260187-MG-2604-BH0053,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260188,MG-2604-BH0053,2026-07-01,132.0,IMP-2026-SO-MG260188-MG-2604-BH0053,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260182,MG-2604-BH0074,2026-07-03,12.0,IMP-2026-SO-MG260182-MG-2604-BH0074,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260189,MG-2604-BH0069,2026-07-03,35.4,IMP-2026-SO-MG260189-MG-2604-BH0069,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260189,MG-2604-BH0065,2026-07-03,87.81,IMP-2026-SO-MG260189-MG-2604-BH0065,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260190,MG-2604-BH0065,2026-07-03,58.5,IMP-2026-SO-MG260190-MG-2604-BH0065,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260194,MG-2604-BH0074,2026-07-04,88.0,IMP-2026-SO-MG260194-MG-2604-BH0074,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260194,MG-2604-BH0068,2026-07-04,123.0,IMP-2026-SO-MG260194-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260195,MG-2604-BH0068,2026-07-04,56.0,IMP-2026-SO-MG260195-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260196,MG-2604-BH0068,2026-07-04,62.0,IMP-2026-SO-MG260196-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260197,MG-2604-BH0068,2026-07-04,70.0,IMP-2026-SO-MG260197-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260198,MG-2604-BH0068,2026-07-04,85.0,IMP-2026-SO-MG260198-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260191,MG-2604-BH0073,2026-07-04,57.0,IMP-2026-SO-MG260191-MG-2604-BH0073,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260191,MG-2604-BH0067,2026-07-04,124.0,IMP-2026-SO-MG260191-MG-2604-BH0067,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260192,MG-2604-BH0067,2026-07-04,137.0,IMP-2026-SO-MG260192-MG-2604-BH0067,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260193,MG-2604-BH0067,2026-07-04,118.0,IMP-2026-SO-MG260193-MG-2604-BH0067,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260199,MG-2604-BH0068,2026-07-06,77.0,IMP-2026-SO-MG260199-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260200,MG-2604-BH0068,2026-07-06,75.0,IMP-2026-SO-MG260200-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260201,MG-2604-BH0068,2026-07-06,112.0,IMP-2026-SO-MG260201-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260202,MG-2604-BH0068,2026-07-06,80.0,IMP-2026-SO-MG260202-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260203,MG-2604-BH0068,2026-07-06,165.0,IMP-2026-SO-MG260203-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260204,MG-2604-BH0068,2026-07-06,149.0,IMP-2026-SO-MG260204-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260205,MG-2604-BH0068,2026-07-06,141.0,IMP-2026-SO-MG260205-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260206,MG-2604-BH0068,2026-07-06,82.0,IMP-2026-SO-MG260206-MG-2604-BH0068,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260210,MG-2604-BH0083,2026-07-07,540.0,IMP-2026-SO-MG260210-MG-2604-BH0083,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260207,MG-2604-BH0067,2026-07-08,124.0,IMP-2026-SO-MG260207-MG-2604-BH0067,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260208,MG-2604-BH0067,2026-07-08,121.0,IMP-2026-SO-MG260208-MG-2604-BH0067,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260209,MG-2604-BH0067,2026-07-08,83.0,IMP-2026-SO-MG260209-MG-2604-BH0067,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260194,MG-2604-BH0084,2026-07-08,10.5,IMP-2026-SO-MG260194-MG-2604-BH0084,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260159,MG-2604-BH0084,2026-07-08,26.5,IMP-2026-SO-MG260159-MG-2604-BH0084,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260254,MG-2604-BH0110,2026-07-22,218.5,IMP-2026-SO-MG260254-MG-2604-BH0110,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260255,MG-2604-BH0110,2026-07-22,218.5,IMP-2026-SO-MG260255-MG-2604-BH0110,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260184,MG-2604-BH0022,2026-07-22,246.5,IMP-2026-SO-MG260184-MG-2604-BH0022,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260184,MG-2604-BH0059,2026-07-22,129.0,IMP-2026-SO-MG260184-MG-2604-BH0059,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260219,MG-2604-BH0109,2026-07-22,117.6,IMP-2026-SO-MG260219-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260220,MG-2604-BH0109,2026-07-22,190.6,IMP-2026-SO-MG260220-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260221,MG-2604-BH0109,2026-07-22,202.4,IMP-2026-SO-MG260221-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260222,MG-2604-BH0109,2026-07-22,198.0,IMP-2026-SO-MG260222-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260223,MG-2604-BH0109,2026-07-22,202.6,IMP-2026-SO-MG260223-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260224,MG-2604-BH0109,2026-07-22,110.0,IMP-2026-SO-MG260224-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260225,MG-2604-BH0109,2026-07-22,108.2,IMP-2026-SO-MG260225-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260247,MG-2604-BH0109,2026-07-22,72.4,IMP-2026-SO-MG260247-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260248,MG-2604-BH0109,2026-07-22,94.4,IMP-2026-SO-MG260248-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260249,MG-2604-BH0109,2026-07-22,69.6,IMP-2026-SO-MG260249-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260250,MG-2604-BH0109,2026-07-22,87.0,IMP-2026-SO-MG260250-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260251,MG-2604-BH0109,2026-07-22,82.4,IMP-2026-SO-MG260251-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260252,MG-2604-BH0109,2026-07-22,80.0,IMP-2026-SO-MG260252-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260253,MG-2604-BH0109,2026-07-22,81.8,IMP-2026-SO-MG260253-MG-2604-BH0109,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260245,MG-2604-BH0108,2026-07-18,240.0,IMP-2026-SO-MG260245-MG-2604-BH0108,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260246,MG-2604-BH0108,2026-07-18,160.84,IMP-2026-SO-MG260246-MG-2604-BH0108,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260243,MG-2604-BH0034,2026-07-18,36.0,IMP-2026-SO-MG260243-MG-2604-BH0034,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260243,MG-2604-BH0107,2026-07-18,134.0,IMP-2026-SO-MG260243-MG-2604-BH0107,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260244,MG-2604-BH0040,2026-07-18,136.0,IMP-2026-SO-MG260244-MG-2604-BH0040,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260161,MG-2604-BH0106,2026-07-18,204.0,IMP-2026-SO-MG260161-MG-2604-BH0106,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260244,MG-2604-BH0106,2026-07-18,66.0,IMP-2026-SO-MG260244-MG-2604-BH0106,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260244,MG-2604-BH0073,2026-07-18,27.0,IMP-2026-SO-MG260244-MG-2604-BH0073,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260211,MG-2604-BH0104,2026-07-18,243.0,IMP-2026-SO-MG260211-MG-2604-BH0104,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260212,MG-2604-BH0105,2026-07-18,626.0,IMP-2026-SO-MG260212-MG-2604-BH0105,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260213,MG-2604-BH0104,2026-07-18,189.0,IMP-2026-SO-MG260213-MG-2604-BH0104,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260214,MG-2604-BH0105,2026-07-18,467.0,IMP-2026-SO-MG260214-MG-2604-BH0105,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260226,MG-2604-BH0079,2026-07-16,1371.07,IMP-2026-SO-MG260226-MG-2604-BH0079,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260227,MG-2604-BH0080,2026-07-16,501.8,IMP-2026-SO-MG260227-MG-2604-BH0080,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260228,MG-2604-BH0082,2026-07-16,485.8,IMP-2026-SO-MG260228-MG-2604-BH0082,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260229,MG-2604-BH0081,2026-07-16,647.16,IMP-2026-SO-MG260229-MG-2604-BH0081,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260215,MG-2604-BH0079,2026-07-16,658.03,IMP-2026-SO-MG260215-MG-2604-BH0079,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260216,MG-2604-BH0080,2026-07-16,256.0,IMP-2026-SO-MG260216-MG-2604-BH0080,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260217,MG-2604-BH0082,2026-07-16,243.2,IMP-2026-SO-MG260217-MG-2604-BH0082,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260218,MG-2604-BH0081,2026-07-16,306.24,IMP-2026-SO-MG260218-MG-2604-BH0081,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260239,MG-2604-BH0079,2026-07-16,1082.4,IMP-2026-SO-MG260239-MG-2604-BH0079,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260240,MG-2604-BH0080,2026-07-16,354.2,IMP-2026-SO-MG260240-MG-2604-BH0080,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260241,MG-2604-BH0082,2026-07-16,300.0,IMP-2026-SO-MG260241-MG-2604-BH0082,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260242,MG-2604-BH0081,2026-07-16,444.0,IMP-2026-SO-MG260242-MG-2604-BH0081,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260235,MG-2604-BH0079,2026-07-16,1286.5,IMP-2026-SO-MG260235-MG-2604-BH0079,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260236,MG-2604-BH0080,2026-07-16,555.0,IMP-2026-SO-MG260236-MG-2604-BH0080,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260237,MG-2604-BH0082,2026-07-16,375.0,IMP-2026-SO-MG260237-MG-2604-BH0082,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260238,MG-2604-BH0081,2026-07-16,601.6,IMP-2026-SO-MG260238-MG-2604-BH0081,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260226,MG-2604-BH0088,2026-07-16,480.0,IMP-2026-SO-MG260226-MG-2604-BH0088,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260215,MG-2604-BH0088,2026-07-16,360.0,IMP-2026-SO-MG260215-MG-2604-BH0088,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260240,MG-2604-BH0088,2026-07-16,480.0,IMP-2026-SO-MG260240-MG-2604-BH0088,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260236,MG-2604-BH0088,2026-07-16,120.0,IMP-2026-SO-MG260236-MG-2604-BH0088,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260257,MG-2604-BH0075,2026-07-25,2438.96,IMP-2026-SO-MG260257-MG-2604-BH0075,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260260,MG-2604-BH0078,2026-07-25,3091.9,IMP-2026-SO-MG260260-MG-2604-BH0078,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260184,MG-2604-BH0092,2026-07-30,101.66,IMP-2026-SO-MG260184-MG-2604-BH0092,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260257,MG-2604-BH0091,2026-07-31,481.71,IMP-2026-SO-MG260257-MG-2604-BH0091,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260260,MG-2604-BH0091,2026-07-31,481.71,IMP-2026-SO-MG260260-MG-2604-BH0091,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260261,MG-2604-BH0090,2026-07-31,69.75,IMP-2026-SO-MG260261-MG-2604-BH0090,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260184,MG-2604-BH0059,2026-07-31,16.0,IMP-2026-SO-MG260184-MG-2604-BH0059,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260159,MG-2604-BH0087,2026-07-31,42.0,IMP-2026-SO-MG260159-MG-2604-BH0087,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260263,MG-2604-BH0089,2026-07-31,400.0,IMP-2026-SO-MG260263-MG-2604-BH0089,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260262,MG-2604-BH0090,2026-07-31,69.35,IMP-2026-SO-MG260262-MG-2604-BH0090,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260248,MG-2604-BH0099,2026-08-11,95.0,IMP-2026-SO-MG260248-MG-2604-BH0099,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260249,MG-2604-BH0099,2026-08-11,95.0,IMP-2026-SO-MG260249-MG-2604-BH0099,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260250,MG-2604-BH0099,2026-08-11,190.0,IMP-2026-SO-MG260250-MG-2604-BH0099,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260251,MG-2604-BH0099,2026-08-11,95.0,IMP-2026-SO-MG260251-MG-2604-BH0099,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260252,MG-2604-BH0099,2026-08-11,190.0,IMP-2026-SO-MG260252-MG-2604-BH0099,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260253,MG-2604-BH0099,2026-08-11,190.0,IMP-2026-SO-MG260253-MG-2604-BH0099,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260006,MG-2604-BH0098,2026-08-10,693.0,IMP-2026-SO-MG260006-MG-2604-BH0098,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260207,MG-2604-BH0097,2026-08-10,46.33,IMP-2026-SO-MG260207-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260208,MG-2604-BH0097,2026-08-10,46.33,IMP-2026-SO-MG260208-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260209,MG-2604-BH0097,2026-08-10,46.33,IMP-2026-SO-MG260209-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260257,MG-2604-BH0091,2026-08-10,227.56,IMP-2026-SO-MG260257-MG-2604-BH0091,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260258,MG-2604-BH0091,2026-08-10,227.56,IMP-2026-SO-MG260258-MG-2604-BH0091,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260259,MG-2604-BH0091,2026-08-10,227.56,IMP-2026-SO-MG260259-MG-2604-BH0091,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260260,MG-2604-BH0091,2026-08-10,227.56,IMP-2026-SO-MG260260-MG-2604-BH0091,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260245,MG-2604-BH0097,2026-08-08,3.0,IMP-2026-SO-MG260245-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260246,MG-2604-BH0097,2026-08-08,3.0,IMP-2026-SO-MG260246-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260267,MG-2604-BH0097,2026-08-08,25.83,IMP-2026-SO-MG260267-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260268,MG-2604-BH0097,2026-08-08,25.83,IMP-2026-SO-MG260268-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260269,MG-2604-BH0097,2026-08-08,25.83,IMP-2026-SO-MG260269-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260270,MG-2604-BH0097,2026-08-08,25.83,IMP-2026-SO-MG260270-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260271,MG-2604-BH0097,2026-08-08,25.83,IMP-2026-SO-MG260271-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260272,MG-2604-BH0097,2026-08-08,25.83,IMP-2026-SO-MG260272-MG-2604-BH0097,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260275,MG-2604-BH0094,2026-08-08,471.9,IMP-2026-SO-MG260275-MG-2604-BH0094,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260276,MG-2604-BH0094,2026-08-08,474.4,IMP-2026-SO-MG260276-MG-2604-BH0094,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260277,MG-2604-BH0094,2026-08-08,455.4,IMP-2026-SO-MG260277-MG-2604-BH0094,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260278,MG-2604-BH0094,2026-08-08,437.0,IMP-2026-SO-MG260278-MG-2604-BH0094,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260279,MG-2604-BH0094,2026-08-08,208.3,IMP-2026-SO-MG260279-MG-2604-BH0094,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260267,MG-2604-BH0093,2026-08-08,100.0,IMP-2026-SO-MG260267-MG-2604-BH0093,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260268,MG-2604-BH0095,2026-08-08,81.5,IMP-2026-SO-MG260268-MG-2604-BH0095,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260269,MG-2604-BH0093,2026-08-08,99.0,IMP-2026-SO-MG260269-MG-2604-BH0093,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260270,MG-2604-BH0093,2026-08-08,94.0,IMP-2026-SO-MG260270-MG-2604-BH0093,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260271,MG-2604-BH0093,2026-08-08,100.0,IMP-2026-SO-MG260271-MG-2604-BH0093,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260272,MG-2604-BH0093,2026-08-08,81.4,IMP-2026-SO-MG260272-MG-2604-BH0093,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260273,MG-2604-BH0096,2026-08-08,116.0,IMP-2026-SO-MG260273-MG-2604-BH0096,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260274,MG-2604-BH0096,2026-08-08,116.0,IMP-2026-SO-MG260274-MG-2604-BH0096,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260280,MG-2604-BH0093,2026-08-12,98.0,IMP-2026-SO-MG260280-MG-2604-BH0093,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260281,MG-2604-BH0093,2026-08-12,99.0,IMP-2026-SO-MG260281-MG-2604-BH0093,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260282,MG-2604-BH0093,2026-08-12,96.0,IMP-2026-SO-MG260282-MG-2604-BH0093,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260283,MG-2604-BH0095,2026-08-12,81.1,IMP-2026-SO-MG260283-MG-2604-BH0095,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260284,MG-2604-BH0093,2026-08-12,97.0,IMP-2026-SO-MG260284-MG-2604-BH0093,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260285,MG-2604-BH0093,2026-08-12,76.7,IMP-2026-SO-MG260285-MG-2604-BH0093,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260275,MG-2604-BH0088,2026-08-12,240.0,IMP-2026-SO-MG260275-MG-2604-BH0088,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260245,MG-2604-BH0084,2026-08-12,13.0,IMP-2026-SO-MG260245-MG-2604-BH0084,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260266,MG-2604-BH0101,2026-08-12,1243.0,IMP-2026-SO-MG260266-MG-2604-BH0101,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260257,MG-2604-BH0075,2026-08-12,363.06,IMP-2026-SO-MG260257-MG-2604-BH0075,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260258,MG-2604-BH0077,2026-08-12,3164.0,IMP-2026-SO-MG260258-MG-2604-BH0077,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260259,MG-2604-BH0076,2026-08-12,3178.06,IMP-2026-SO-MG260259-MG-2604-BH0076,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260260,MG-2604-BH0078,2026-08-12,456.26,IMP-2026-SO-MG260260-MG-2604-BH0078,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260286,MG-2604-BH0112,2026-08-18,349.0,IMP-2026-SO-MG260286-MG-2604-BH0112,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260287,MG-2604-BH0111,2026-08-18,543.0,IMP-2026-SO-MG260287-MG-2604-BH0111,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260288,MG-2604-BH0111,2026-08-18,429.5,IMP-2026-SO-MG260288-MG-2604-BH0111,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260289,MG-2604-BH0111,2026-08-18,296.0,IMP-2026-SO-MG260289-MG-2604-BH0111,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260290,MG-2604-BH0111,2026-08-18,54.0,IMP-2026-SO-MG260290-MG-2604-BH0111,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260291,MG-2604-BH0111,2026-08-18,299.0,IMP-2026-SO-MG260291-MG-2604-BH0111,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260292,MG-2604-BH0113,2026-08-18,110.0,IMP-2026-SO-MG260292-MG-2604-BH0113,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260284,MG-2604-BH0100,2026-08-18,100.0,IMP-2026-SO-MG260284-MG-2604-BH0100,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260274,MG-2604-BH0100,2026-08-18,100.0,IMP-2026-SO-MG260274-MG-2604-BH0100,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260287,MG-2604-BH0100,2026-08-18,100.0,IMP-2026-SO-MG260287-MG-2604-BH0100,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260288,MG-2604-BH0100,2026-08-18,100.0,IMP-2026-SO-MG260288-MG-2604-BH0100,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260293,MG-2604-BH0116,2026-08-20,400.0,IMP-2026-SO-MG260293-MG-2604-BH0116,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260294,MG-2604-BH0116,2026-08-20,400.0,IMP-2026-SO-MG260294-MG-2604-BH0116,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260296,MG-2604-BH0116,2026-08-20,300.0,IMP-2026-SO-MG260296-MG-2604-BH0116,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260307,MG-2604-BH0114,2026-08-21,157.0,IMP-2026-SO-MG260307-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260308,MG-2604-BH0114,2026-08-21,116.0,IMP-2026-SO-MG260308-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260309,MG-2604-BH0114,2026-08-21,129.0,IMP-2026-SO-MG260309-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260310,MG-2604-BH0114,2026-08-21,129.0,IMP-2026-SO-MG260310-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260311,MG-2604-BH0114,2026-08-21,140.0,IMP-2026-SO-MG260311-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260312,MG-2604-BH0114,2026-08-21,122.0,IMP-2026-SO-MG260312-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260313,MG-2604-BH0114,2026-08-21,158.0,IMP-2026-SO-MG260313-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
